
Marca temporal,"GENERO

",AÑO,"EDAD

","PREGUNTA_1

","PREGUNTA_2

","PREGUNTA_3
",PREGUNTA_4,"PREGUNTA_5

",PREGUNTA_6,PREGUNTA_7,"PREGUNTA_8
",PREGUNTA_9,"PREGUNTA_10

","PREGUNTA_11

","PREGUNTA_12

","PREGUNTA_13
","
 PREGUNTA_14
","PREGUNTA_15
","PREGUNTA_16

","PREGUNTA_17
","PREGUNTA_18
","PREGUNTA_19
","PREGUNTA_20
"
24/04/2024 15:00:03,2,1,1,2,4,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,,3,3
24/04/2024 15:00:49,2,4,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,5
24/04/2024 15:02:03,2,4,1,2,3,3,3,3,3,2,2,2,2,1,3,2,2,2,5,2,"Mate, comunicación, inglés, algebra y recreo Gaaa",2,1
24/04/2024 15:07:48,2,1,2,2,4,4,2,3,3,2,1,1,2,2,1,1,2,1,1,2,Ninguno ,1,5
24/04/2024 20:45:40,2,4,1,3,4,3,3,2,2,3,1,4,1,3,1,2,1,2,2,4,"Literatura, lenguaje, química, trigonométrica, fisica",4,1
25/04/2024 19:45:28,1,2,2,2,1,3,4,4,2,5,3,5,2,2,4,3,4,5,4,5,,2,3
25/04/2024 19:47:23,1,3,2,3,4,3,2,1,1,4,3,2,5,2,3,4,2,1,3,2,,1,2
25/04/2024 19:49:32,1,4,3,2,5,5,4,3,4,2,3,2,4,3,3,2,5,3,1,3,,4,5
25/04/2024 19:50:31,2,2,1,2,3,4,4,4,3,2,1,5,4,3,2,4,3,2,4,4,,3,4
25/04/2024 19:52:13,2,4,3,4,5,5,4,3,2,3,4,4,2,5,1,3,2,4,3,2,,4,1
26/04/2024 9:31:19,1,4,2,1,4,3,3,4,3,2,4,2,2,1,1,1,1,1,1,1,Ninguna ,2,4
26/04/2024 10:19:07,1,1,1,2,3,3,2,4,4,5,3,2,3,2,1,1,2,3,1,3,,1,5
30/04/2024 9:24:02,1,2,2,3,4,2,4,3,4,2,1,5,1,4,5,5,1,3,3,2,Trigonometria,2,3
30/04/2024 9:25:10,1,3,3,4,3,2,4,3,4,1,5,1,3,4,1,2,2,3,4,2,,4,4
30/04/2024 10:29:31,1,1,1,2,3,1,2,4,3,2,3,1,5,4,2,3,2,4,3,4,,2,3
30/04/2024 10:37:32,2,2,2,4,2,1,3,2,2,3,2,4,5,1,3,2,4,3,2,4,,3,2
30/04/2024 10:38:47,2,3,3,3,2,3,2,1,4,5,3,1,4,2,4,3,1,4,5,2,,2,1
30/04/2024 10:40:20,1,4,2,3,2,4,5,1,3,2,4,3,5,1,3,2,4,3,3,1,,3,1
30/04/2024 10:41:51,1,3,2,3,2,3,2,4,1,5,3,2,2,4,3,4,1,2,5,4,,3,4
30/04/2024 11:10:30,1,3,2,5,2,1,2,4,3,2,3,5,1,2,3,4,1,4,3,2,,4,2
30/04/2024 12:43:57,1,3,2,3,3,3,3,3,3,3,2,4,2,2,3,3,3,3,2,2,,3,3
30/04/2024 12:48:18,2,3,2,2,2,3,2,3,3,2,3,2,3,3,2,3,3,2,3,3,,3,4
30/04/2024 12:51:10,2,3,2,3,2,2,3,3,2,2,2,3,3,2,3,4,2,3,3,2,,3,4
30/04/2024 12:52:58,1,2,2,3,3,3,3,2,5,4,3,4,3,3,3,4,3,4,3,3,,2,3
30/04/2024 12:56:12,1,3,2,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,,4,3
